coefficient_name,Description,value
coef_number_of_hh_persons,Number of HH Persons,-0.1522
coef_num_kids_between_5_and_15_including_years_old,Num kids between 5 and 15 (including) years old,0.0482
coef_dummy_for_female,Dummy for female,0.1721
coef_dummy_for_all_stops_made_by_transit,Dummy for all stops made by transit,-0.7
coef_dummy_for_walking_to_all_stops,Dummy for walking to all stops,-1.4908
coef_number_of_work_tours_undertaken_by_the_person,Number of work tours undertaken by the person,-0.548
coef_number_of_university_tours_tours_undertaken_by_the_person,Number of university tours tours undertaken by the person,-0.6709
coef_number_of_maintenace_tours_tours_undertaken_by_the_person,Number of maintenace tours tours undertaken by the person,-0.1977
coef_number_of_shop_tours_undertaken_by_the_houshold,Number of shop tours undertaken by the houshold,-0.0733
coef_dummy_for_only_adults_participate_in_the_tour,Dummy for only adults participate in the tour,0.1902
coef_dummy_for_the_duration_of_the_tour_being_equal_or_greater_than_or_equal_to_9_hours_,Dummy for the duration of the tour being equal or greater than or equal to 9 hours ,0.9056
coef_dummy_for_distance_less_than_5_miles,dummy for distance less than 5 Miles,0.3768
coef_dummy_for_distance_in_miles,dummy for distance in miles,0.0289
coef_no_stops_if_tour_mode_is_drivetransit,No stops if tour mode is driveTransit,-10.0
# coef_alternative_specific_constant_for_return_stops_0out_1in,Alternative specific constant for return  stops,-1.179
# coef_alternative_specific_constant_for_return_stops_on_joint_tours_0out_1in,Alternative specific constant for return  stops on joint tours,-1.329
# coef_alternative_specific_constant_for_return_stops_0out_2in,Alternative specific constant for return  stops,-2.305
# coef_alternative_specific_constant_for_the_total_number_of_stops_0out_2in,Alternative specific constant for the total number of stops,0.0
# coef_alternative_specific_constant_for_return_stops_on_joint_tours_0out_2in,Alternative specific constant for return  stops on joint tours,-2.796
# coef_alternative_specific_constant_for_the_total_number_of_stops_on_joint_tours_0out_2in,Alternative specific constant for the total number of stops on joint tours,0.0
# coef_alternative_specific_constant_for_return_stops_0out_3in,Alternative specific constant for return  stops,-3.024
# coef_alternative_specific_constant_for_return_stops_on_joint_tours_0out_3in,Alternative specific constant for return  stops on joint tours,-3.379
# coef_alternative_specific_constant_for_outbound_stops_1out_0in,Alternative specific constant for outbound stops,-1.339
# coef_alternative_specific_constant_for_outbound_stops_on_joint_tours_1out_0in,Alternative specific constant for outbound stops on joint tours,-1.783
# coef_alternative_specific_constant_for_the_total_number_of_stops_1out_3in,Alternative specific constant for the total number of stops,0.252
# coef_alternative_specific_constant_for_the_total_number_of_stops_on_joint_tours_1out_3in,Alternative specific constant for the total number of stops on joint tours,0.518
# coef_alternative_specific_constant_for_outbound_stops_2out_0in,Alternative specific constant for outbound stops,-3.11
# coef_alternative_specific_constant_for_outbound_stops_on_joint_tours_2out_0in,Alternative specific constant for outbound stops on joint tours,-4.067
# coef_alternative_specific_constant_for_the_total_number_of_stops_2out_3in,Alternative specific constant for the total number of stops,0.514
# coef_alternative_specific_constant_for_the_total_number_of_stops_on_joint_tours_2out_3in,Alternative specific constant for the total number of stops on joint tours,1.497
# coef_alternative_specific_constant_for_outbound_stops_3out_0in,Alternative specific constant for outbound stops,-4.487
# coef_alternative_specific_constant_for_outbound_stops_on_joint_tours_3out_0in,Alternative specific constant for outbound stops on joint tours,-4.998
coef_telecommute1_2,,-0.126
coef_telecommute1_3,,-0.301
coef_telecommute1_4,,-0.301
coef_telecommute1_5,,-0.126
coef_telecommute1_6,,-0.301
coef_telecommute1_7,,-0.301
coef_telecommute1_8,,-0.611
coef_telecommute1_9,,-0.301
coef_telecommute1_10,,-0.301
coef_telecommute1_11,,-0.611
coef_telecommute1_12,,-0.611
coef_telecommute1_13,,-0.301
coef_telecommute1_14,,-0.611
coef_telecommute1_15,,-0.611
coef_telecommute1_16,,-0.611
coef_telecommute23_2,,-0.149
coef_telecommute23_3,,-0.768
coef_telecommute23_4,,-0.768
coef_telecommute23_5,,-0.768
coef_telecommute23_6,,-0.768
coef_telecommute23_7,,-0.768
coef_telecommute23_8,,-0.909
coef_telecommute23_9,,-0.768
coef_telecommute23_10,,-0.768
coef_telecommute23_11,,-0.909
coef_telecommute23_12,,-0.909
coef_telecommute23_13,,-0.768
coef_telecommute23_14,,-0.909
coef_telecommute23_15,,-0.909
coef_telecommute23_16,,-0.909
coef_telecommute4p_2,,-0.158
coef_telecommute4p_3,,-0.473
coef_telecommute4p_4,,-0.473
coef_telecommute4p_5,,-0.473
coef_telecommute4p_6,,-0.473
coef_telecommute4p_7,,-0.473
coef_telecommute4p_8,,-1.47
coef_telecommute4p_9,,-0.473
coef_telecommute4p_10,,-0.473
coef_telecommute4p_11,,-1.47
coef_telecommute4p_12,,-1.47
coef_telecommute4p_13,,-0.473
coef_telecommute4p_14,,-1.47
coef_telecommute4p_15,,-1.47
coef_telecommute4p_16,,-1.47
asc_0out_0in,ASC,0.0
asc_0out_1in,ASC,-1.140994807649525
asc_0out_2in,ASC,-1.0844506678211348
asc_0out_3in,ASC,-1.9285439109196216
asc_1out_0in,ASC,-0.401728640739406
asc_1out_1in,ASC,-1.198816596926232
asc_1out_2in,ASC,-2.1828036873933807
asc_1out_3in,ASC,-3.2981090423337664
asc_2out_0in,ASC,-1.305957037319896
asc_2out_1in,ASC,-2.7063084910745454
asc_2out_2in,ASC,-3.53598862250554
asc_2out_3in,ASC,-3.841658115538644
asc_3out_0in,ASC,-2.013010739363936
asc_3out_1in,ASC,-3.4528723237401717
asc_3out_2in,ASC,-4.285980302233788
asc_3out_3in,ASC,-7.892116642828282
asc_joint_0out_0in,ASC,0.42603930567083204
asc_joint_0out_1in,ASC,-0.6180362046589883
asc_joint_0out_2in,ASC,-1.3947153405211914
asc_joint_0out_3in,ASC,-2.6034770503493294
asc_joint_1out_0in,ASC,-0.9602771267263603
asc_joint_1out_1in,ASC,-2.361224047782081
asc_joint_1out_2in,ASC,-4.589946135254355
asc_joint_1out_3in,ASC,-15.0
asc_joint_2out_0in,ASC,-1.4412671920737945
asc_joint_2out_1in,ASC,-4.33778387660958
asc_joint_2out_2in,ASC,-8.68352453942762
asc_joint_2out_3in,ASC,-6.769999829012628
asc_joint_3out_0in,ASC,-2.4068962995702434
asc_joint_3out_1in,ASC,-4.962494330897224
asc_joint_3out_2in,ASC,-2.796
asc_joint_3out_3in,ASC,-3.379
