coefficient_name,value,constrain
coef_nest_root,1.0,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_DRIVEACCESS,0.5,T
coef_nest_SCHOOL_BUS,0.72,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
coef_ivt_school_univ,-0.0224,F
coef_ivt_work,-0.0134,F
coef_ivt_atwork,-0.0188,F
coef_income_work,-0.625,F
coef_income_school_univ,-0.262,F
coef_income_maint,-0.262,F
coef_income_disc,-0.262,F
coef_income_atwork,-0.262,F
coef_income,-0.625,F
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15.0,F
coef_topology_walk_multiplier_atwork,7.5,F
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20.0,F
coef_topology_bike_multiplier_atwork,10.0,F
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
coef_topology_trn_multiplier_atwork,2.0,F
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age1619_da_multiplier_school_univ,-1.3813,F
coef_age1619_da_multiplier_atwork,0.0032336,F
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age010_trn_multiplier_school_univ,-1.5548,F
coef_age010_trn_multiplier_atwork,0.000722,F
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
coef_age16p_sr_multiplier_school_univ_work_atwork,0.0,F
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0.0,F
coef_hhsize1_sr_multiplier_work,-0.734588,F
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0.0,F
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
walk_ASC_no_auto_eatout,3.6043619982868482,F
walk_ASC_no_auto_escort,3.5553762014258044,F
walk_ASC_no_auto_othdiscr,3.6043619982868482,F
walk_ASC_no_auto_othmaint,3.5553762014258044,F
walk_ASC_no_auto_school,-12.0,F
walk_ASC_no_auto_shopping,3.5553762014258044,F
walk_ASC_no_auto_social,3.6043619982868482,F
walk_ASC_no_auto_univ,-12.0,F
walk_ASC_no_auto_work,-1.9790496812637686,F
walk_ASC_no_auto_atwork,3.5873628719779944,F
walk_ASC_auto_deficient_eatout,3.5834895572751515,F
walk_ASC_auto_deficient_escort,1.0153893370182987,F
walk_ASC_auto_deficient_othdiscr,3.5834895572751515,F
walk_ASC_auto_deficient_othmaint,1.0153893370182987,F
walk_ASC_auto_deficient_school,-12.0,F
walk_ASC_auto_deficient_shopping,1.0153893370182987,F
walk_ASC_auto_deficient_social,3.5834895572751515,F
walk_ASC_auto_deficient_univ,3.0163573031973554,F
walk_ASC_auto_deficient_work,2.732082075417798,F
walk_ASC_auto_deficient_atwork,3.8568161193434465,F
walk_ASC_auto_sufficient_eatout,3.6956233325062726,F
walk_ASC_auto_sufficient_escort,0.9571579824422138,F
walk_ASC_auto_sufficient_othdiscr,3.6956233325062726,F
walk_ASC_auto_sufficient_othmaint,0.9571579824422138,F
walk_ASC_auto_sufficient_school,0.6430801585294712,F
walk_ASC_auto_sufficient_shopping,0.9571579824422138,F
walk_ASC_auto_sufficient_social,3.6956233325062726,F
walk_ASC_auto_sufficient_univ,2.1991226499339276,F
