coefficient_name,value,constrain
coef_one,1.0,T
coef_nest_root,1.0,T
coef_nest_AUTO,0.72,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_WALKACCESS,0.5,T
coef_nest_PNRACCESS,0.5,T
coef_nest_KNRACCESS,0.5,T
coef_nest_SCHOOL_BUS,0.72,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_othmaint_social,-0.02,F
coef_ivt_work,-0.02,F
coef_ivt_univ_school,-0.03,F
coef_ivt_escort_shopping_eatout_othdiscr_atwork,-0.03,F
coef_income_work,-0.625,F
coef_income_school_univ,-0.262,F
coef_income_maint,-0.262,F
coef_income_disc,-0.262,F
coef_income_atwork,-0.262,F
#coef_income,-0.625,F
coef_age1619_da,0.0,F
coef_age010_trn,0.0,F
coef_age16p_sr,0.0,F
coef_hhsize1_sr,-0.73,F
coef_hhsize2_sr,0.0,F
coef_walktimeshort_atwork,1.35,F
coef_walktimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_biketimeshort_atwork,2.7,F
coef_biketimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,4.0,T
coef_dtim_atwork,1.35,F
coef_dtim_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_ivt_pmov_multiplier,1.0,T
coef_ivt_stcar_multiplier,0.9,T
coef_ivt_brt_multiplier,0.9,T
coef_ivt_urb_multiplier,0.8,T
coef_ivt_com_multiplier,0.7,T
coef_long_iwait_atwork,0.67,F
coef_long_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,1.0,T
coef_short_iwait_atwork,1.35,F
coef_short_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_wacc_atwork,1.35,F
coef_wacc_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_waux_atwork,1.35,F
coef_waux_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_wegr_atwork,1.35,F
coef_wegr_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_xwait_atwork,1.35,F
coef_xwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_bike_ASC_walk_atwork,-5.904054321,F
coef_bike_ASC_walk_eatout,-7.915158948,F
coef_bike_ASC_walk_escort,-5.758690049,F
coef_bike_ASC_walk_othdiscr,-7.915158948,F
coef_bike_ASC_walk_othmaint,-5.758690049,F
coef_bike_ASC_walk_school,-6.284786376,F
coef_bike_ASC_walk_shopping,-5.758690049,F
coef_bike_ASC_walk_social,-7.915158948,F
coef_bike_ASC_walk_univ,-6.692847722,F
coef_bike_ASC_walk_work,-8.072341481,F
coef_bike_ASC_taxi_atwork,-999.0,F
coef_bike_ASC_taxi_eatout,-999.0,F
coef_bike_ASC_taxi_escort,-999.0,F
coef_bike_ASC_taxi_othdiscr,-999.0,F
coef_bike_ASC_taxi_othmaint,-999.0,F
coef_bike_ASC_taxi_school,-999.0,F
coef_bike_ASC_taxi_shopping,-999.0,F
coef_bike_ASC_taxi_social,-999.0,F
coef_bike_ASC_taxi_univ,-999.0,F
coef_bike_ASC_taxi_work,-999.0,F
coef_bike_ASC_tnc_single_atwork,-12.0,F
coef_bike_ASC_tnc_single_eatout,-14.0,F
coef_bike_ASC_tnc_single_escort,-12.0,F
coef_bike_ASC_tnc_single_othdiscr,-24.0,F
coef_bike_ASC_tnc_single_othmaint,-22.0,F
coef_bike_ASC_tnc_single_school,-10.0,F
coef_bike_ASC_tnc_single_shopping,-12.0,F
coef_bike_ASC_tnc_single_social,-14.0,F
coef_bike_ASC_tnc_single_univ,-10.0,F
coef_bike_ASC_tnc_single_work,-12.0,F
coef_bike_ASC_tnc_shared_atwork,-999.0,F
coef_bike_ASC_tnc_shared_eatout,-999.0,F
coef_bike_ASC_tnc_shared_escort,-999.0,F
