coefficient_name,value,constrain
coef_dist,-0.0665494156099,F
coef_dist_squared,0.00329811779888,F
coef_dist_cubed,-0.000100360592701,F
coef_dist_logged,-0.957497382524,F
coef_dist_low_inc,0.0,F
coef_dist_med_inc,0.0,F
coef_dist_high_inc,0.0,F
coef_dist_vhigh_inc,0.0,F
coef_dist_part_time,-0.0426822798313,F
coef_dist_student,-0.0300905880426,F
coef_dist_zero_auto,0.0743668743958,F
coef_mode_logsum,0.25,F
coef_work_state,0.0,F
coef_female,0.0,F
coef_old,0.0,F
coef_young,-0.00566516645047,F
coef_wi_to_mn,-0.242829205865,F
coef_mn_to_wi,0.0836252802456,F
